"Game","Type","File","Action","Notes"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\027__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t2937600.00-t3002400.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\028__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t2092.00-t2105.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\029__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t2134.00-t2152.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\030__2025-09-20__TSC_vs_Greenwood__FREE_KICK_WON_GOAL__t2175.00-t2211.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\031__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t2245.00-t2266.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\032__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t2544.00-t2561.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\033__2025-09-20__TSC_vs_Greenwood__GOAL__t2562.00-t2582.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\034__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t2646.00-t2665.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\035__2025-09-20__TSC_vs_Greenwood__CORNER__t2687.00-t2701.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\036__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t2705.00-t2715.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\036__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t3906000.00-t3942000.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\037__2025-09-20__TSC_vs_Greenwood__PRESSURE_GOAL__t2729.00-t2749.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\038__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t2770.00-t2827.00.mp4","QUARANTINE","Unparseable name or wrong tag"
