time,in_play,reset,audio_rms,hf_ratio,flow
2132.0,False,False,1.0,0.0,0.27158665776809754
2132.1,False,False,1.0,0.0,0.26428146577068135
2132.2,False,False,1.0,0.0,0.2604879527430791
2132.3,False,False,1.0,0.0,0.2597404841097669
2132.4,False,False,1.0,0.07575582,0.2475367939774806
2132.5,False,False,1.0,0.00048264934,0.24071872955882523
2132.6,False,False,1.0,0.0,0.2692850274468261
2132.7,False,False,1.0,0.0,0.39570864936994976
2132.8,False,False,1.0,0.0,0.20238801769099177
2132.9,False,False,1.0,0.0,0.24627987356022052
2133.0,False,False,1.0,0.0,0.2511759628027692
2133.1,False,False,1.0,0.0,0.2314175858338795
2133.2,False,False,1.0,0.0,0.2415984994105072
2133.3,False,False,1.0,0.0,0.19637538520930972
2133.4,False,False,1.0,0.0,0.20257019973847695
2133.5,False,False,1.0,0.0,0.2768692936062143
2133.6,False,False,1.0,0.0,0.2402596289632947
2133.7,False,False,1.0,0.0,0.19156057298384385
2133.8,False,False,1.0,0.0,0.20564071057281452
2133.9,False,False,1.0,0.0,0.3015296391826916
2134.0,False,False,1.0,0.0,0.32922376917057505
2134.1,False,False,1.0,0.0,0.2472644345548487
2134.2,False,False,1.0,0.0,0.19286464334617187
2134.3,False,False,1.0,0.006309159,0.19543999797819697
2134.4,False,False,1.0,0.05683618,0.20477762011161818
2134.5,False,False,1.0,0.04765298,0.18017288912312646
2134.6,False,False,1.0,0.046268452,0.19614323910508513
2134.7,False,False,1.0,0.032601736,0.16257278295274574
2134.8,False,False,1.0,0.06664402,0.1984848682335531
2134.9,False,False,1.0,0.093979284,0.25253389180434216
2135.0,False,False,1.0,0.0065293694,0.265889213727626
2135.1,False,False,1.0,0.08978511,0.2254566213437593
2135.2,False,False,1.0,0.06876438,0.20937277750476285
2135.3,False,False,1.0,0.06087012,0.32485485552898086
2135.4,False,False,1.0,0.04378966,0.19868784854629604
2135.5,False,False,1.0,0.043566875,0.128807990490964
2135.6,False,False,1.0,0.048085842,0.21276339756014
2135.7,False,False,1.0,0.0,0.17068182926003905
2135.8,False,False,1.0,0.0,0.1874375505108271
2135.9,False,False,1.0,0.06806473,0.19399015862790298
2136.0,False,False,1.0,0.2009877,0.23077675928942207
