shot_idx,start,end,duration,yavg,yrng,sat,cond,contrast,gamma,brightness,saturation,filter
70,700,710,10,138.209,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
71,710,720,10,141.344,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
72,720,730,10,132.055,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
73,730,740,10,131.341,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
74,740,750,10,131.228,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
75,750,760,10,130.817,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
76,760,770,10,131.267,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
77,770,780,10,132.711,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
78,780,790,10,142.513,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
79,790,800,10,120.085,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
80,800,810,10,122.676,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
81,810,820,10,122.718,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
82,820,830,10,131.181,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
83,830,840,10,134.87,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
84,840,850,10,134.362,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
85,850,860,10,135.378,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
86,860,870,10,134.23,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
87,870,880,10,134.298,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
88,880,890,10,132.06,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
89,890,900,10,138.856,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
90,900,910,10,139.065,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
91,910,920,10,136.093,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
92,920,930,10,134.389,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
93,930,940,10,135.094,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
94,940,950,10,135.844,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
95,950,960,10,141.169,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
96,960,970,10,134.346,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
97,970,980,10,133.014,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
98,980,990,10,140.38,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
99,990,1000,10,134.105,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
100,1000,1010,10,130.885,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
101,1010,1020,10,131.611,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
102,1020,1030,10,131.83,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
103,1030,1040,10,138.091,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
104,1040,1050,10,139.687,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
105,1050,1060,10,133.817,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
106,1060,1070,10,134.44,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
107,1070,1080,10,133.898,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
108,1080,1090,10,135.628,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
109,1090,1100,10,136.542,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
110,1100,1110,10,137.518,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
111,1110,1120,10,135.026,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
