"action","src","dst","bytes","reason"
"move","out/atomic_clips/_quarantine/038__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t2770.00-t2827.00.mp4","DUPES/out_atomic_clips__quarantine_038__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t2770.00-t2827.00.mp4","99198336","duplicate_exact"
"move","out/atomic_clips/_quarantine/039__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t2894.00-t2914.00.mp4","DUPES/out_atomic_clips__quarantine_039__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t2894.00-t2914.00.mp4","46453892","duplicate_exact"
"move","out/atomic_clips/_quarantine/006__2025-09-20__TSC_vs_RVFC__SHOT__t517.00-t528.00.mp4","DUPES/out_atomic_clips__quarantine_006__2025-09-20__TSC_vs_RVFC__SHOT__t517.00-t528.00.mp4","18871765","duplicate_exact"
"move","out/atomic_clips/_quarantine/007__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t529.00-t547.00.mp4","DUPES/out_atomic_clips__quarantine_007__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t529.00-t547.00.mp4","32863338","duplicate_exact"
"move","out/atomic_clips/_quarantine/008__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t565.00-t600.00.mp4","DUPES/out_atomic_clips__quarantine_008__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t565.00-t600.00.mp4","63709725","duplicate_exact"
"move","out/atomic_clips/_quarantine/009__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t604.00-t620.00.mp4","DUPES/out_atomic_clips__quarantine_009__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t604.00-t620.00.mp4","32389259","duplicate_exact"
"move","out/atomic_clips/_quarantine/010__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t675.00-t689.00.mp4","DUPES/out_atomic_clips__quarantine_010__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t675.00-t689.00.mp4","31757358","duplicate_exact"
"move","out/atomic_clips/_quarantine/011__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t689.00-t702.00.mp4","DUPES/out_atomic_clips__quarantine_011__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t689.00-t702.00.mp4","27107776","duplicate_exact"
"move","out/atomic_clips/_quarantine/012__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t746.00-t757.00.mp4","DUPES/out_atomic_clips__quarantine_012__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t746.00-t757.00.mp4","29144305","duplicate_exact"
"move","out/atomic_clips/_quarantine/013__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t821.00-t865.00.mp4","DUPES/out_atomic_clips__quarantine_013__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t821.00-t865.00.mp4","78859588","duplicate_exact"
"move","out/atomic_clips/_quarantine/014__2025-09-20__TSC_vs_RVFC__DEFENSE_BUILD_UP__t880.00-t897.00.mp4","DUPES/out_atomic_clips__quarantine_014__2025-09-20__TSC_vs_RVFC__DEFENSE_BUILD_UP__t880.00-t897.00.mp4","36576892","duplicate_exact"
"move","out/atomic_clips/_quarantine/015__2025-09-20__TSC_vs_RVFC__SHOT__t930.00-t937.00.mp4","DUPES/out_atomic_clips__quarantine_015__2025-09-20__TSC_vs_RVFC__SHOT__t930.00-t937.00.mp4","21876622","duplicate_exact"
"move","out/atomic_clips/_quarantine/016__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t999.00-t1022.00.mp4","DUPES/out_atomic_clips__quarantine_016__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t999.00-t1022.00.mp4","38337940","duplicate_exact"
"move","out/atomic_clips/_quarantine/017__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t1088.00-t1124.00.mp4","DUPES/out_atomic_clips__quarantine_017__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t1088.00-t1124.00.mp4","61273597","duplicate_exact"
"move","out/atomic_clips/_quarantine/018__2025-09-20__TSC_vs_RVFC__DRIBBLING_SHOT__t1147.00-t1153.00.mp4","DUPES/out_atomic_clips__quarantine_018__2025-09-20__TSC_vs_RVFC__DRIBBLING_SHOT__t1147.00-t1153.00.mp4","10281523","duplicate_exact"
"move","out/atomic_clips/_quarantine/019__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t1158.00-t1182.00.mp4","DUPES/out_atomic_clips__quarantine_019__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t1158.00-t1182.00.mp4","37624279","duplicate_exact"
"move","out/atomic_clips/_quarantine/020__2025-09-20__TSC_vs_RVFC__SHOT__t1236.00-t1243.00.mp4","DUPES/out_atomic_clips__quarantine_020__2025-09-20__TSC_vs_RVFC__SHOT__t1236.00-t1243.00.mp4","15766720","duplicate_exact"
"move","out/atomic_clips/_quarantine/021__2025-09-20__TSC_vs_RVFC__CROSS__t1275.00-t1293.00.mp4","DUPES/out_atomic_clips__quarantine_021__2025-09-20__TSC_vs_RVFC__CROSS__t1275.00-t1293.00.mp4","26980296","duplicate_exact"
"move","out/atomic_clips/_quarantine/022__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t1300.00-t1310.00.mp4","DUPES/out_atomic_clips__quarantine_022__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t1300.00-t1310.00.mp4","19859948","duplicate_exact"
"move","out/atomic_clips/_quarantine/023__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t1316.00-t1329.00.mp4","DUPES/out_atomic_clips__quarantine_023__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t1316.00-t1329.00.mp4","32004503","duplicate_exact"
"move","out/atomic_clips/_quarantine/024__2025-09-20__TSC_vs_RVFC__FREE_KICK__t1402.00-t1421.00.mp4","DUPES/out_atomic_clips__quarantine_024__2025-09-20__TSC_vs_RVFC__FREE_KICK__t1402.00-t1421.00.mp4","34214551","duplicate_exact"
"move","out/atomic_clips/_quarantine/025__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t1512.00-t1520.00.mp4","DUPES/out_atomic_clips__quarantine_025__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t1512.00-t1520.00.mp4","22338103","duplicate_exact"
"move","out/atomic_clips/_quarantine/026__2025-09-20__TSC_vs_RVFC__DRIBBLING_SHOT__t1800.00-t1810.00.mp4","DUPES/out_atomic_clips__quarantine_026__2025-09-20__TSC_vs_RVFC__DRIBBLING_SHOT__t1800.00-t1810.00.mp4","22063556","duplicate_exact"
"move","out/atomic_clips/_quarantine/027__2025-09-20__TSC_vs_RVFC__SHOT__t1827.00-t1834.00.mp4","DUPES/out_atomic_clips__quarantine_027__2025-09-20__TSC_vs_RVFC__SHOT__t1827.00-t1834.00.mp4","19558767","duplicate_exact"
"move","out/atomic_clips/_quarantine/028__2025-09-20__TSC_vs_RVFC__CORNER__t1852.00-t1875.00.mp4","DUPES/out_atomic_clips__quarantine_028__2025-09-20__TSC_vs_RVFC__CORNER__t1852.00-t1875.00.mp4","47401144","duplicate_exact"
"move","out/atomic_clips/_quarantine/029__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t1883.00-t1893.00.mp4","DUPES/out_atomic_clips__quarantine_029__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t1883.00-t1893.00.mp4","25523726","duplicate_exact"
"move","out/atomic_clips/_quarantine/030__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t1898.00-t1911.00.mp4","DUPES/out_atomic_clips__quarantine_030__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t1898.00-t1911.00.mp4","25050163","duplicate_exact"
"move","out/atomic_clips/_quarantine/031__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t1964.00-t1975.00.mp4","DUPES/out_atomic_clips__quarantine_031__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t1964.00-t1975.00.mp4","21421894","duplicate_exact"
"move","out/atomic_clips/_quarantine/032__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t2034.00-t2057.00.mp4","DUPES/out_atomic_clips__quarantine_032__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t2034.00-t2057.00.mp4","44562740","duplicate_exact"
"move","out/atomic_clips/_quarantine/033__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t2131.00-t2150.00.mp4","DUPES/out_atomic_clips__quarantine_033__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t2131.00-t2150.00.mp4","27834861","duplicate_exact"
"move","out/atomic_clips/_quarantine/034__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t2158.00-t2169.00.mp4","DUPES/out_atomic_clips__quarantine_034__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t2158.00-t2169.00.mp4","23607401","duplicate_exact"
"move","out/atomic_clips/_quarantine/035__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t2297.00-t2312.00.mp4","DUPES/out_atomic_clips__quarantine_035__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t2297.00-t2312.00.mp4","25135624","duplicate_exact"
"move","out/atomic_clips/_quarantine/036__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t2348.00-t2367.00.mp4","DUPES/out_atomic_clips__quarantine_036__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t2348.00-t2367.00.mp4","43900377","duplicate_exact"
"move","out/atomic_clips/_quarantine/037__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t2388.00-t2397.00.mp4","DUPES/out_atomic_clips__quarantine_037__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t2388.00-t2397.00.mp4","15279469","duplicate_exact"
"move","out/atomic_clips/_quarantine/038__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t2411.00-t2431.00.mp4","DUPES/out_atomic_clips__quarantine_038__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t2411.00-t2431.00.mp4","37874540","duplicate_exact"
"move","out/atomic_clips/_quarantine/039__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t2485.00-t2506.00.mp4","DUPES/out_atomic_clips__quarantine_039__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t2485.00-t2506.00.mp4","46106052","duplicate_exact"
"move","out/atomic_clips/_quarantine/040__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t2571.00-t2599.00.mp4","DUPES/out_atomic_clips__quarantine_040__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t2571.00-t2599.00.mp4","52008084","duplicate_exact"
"move","out/atomic_clips/_quarantine/041__2025-09-20__TSC_vs_RVFC__CORNER__t2712.00-t2722.00.mp4","DUPES/out_atomic_clips__quarantine_041__2025-09-20__TSC_vs_RVFC__CORNER__t2712.00-t2722.00.mp4","25248246","duplicate_exact"
"move","out/atomic_clips/_quarantine/042__2025-09-20__TSC_vs_RVFC__CORNER__t2765.00-t2783.00.mp4","DUPES/out_atomic_clips__quarantine_042__2025-09-20__TSC_vs_RVFC__CORNER__t2765.00-t2783.00.mp4","33269333","duplicate_exact"
"move","out/atomic_clips/_quarantine/043__2025-09-20__TSC_vs_RVFC__GOAL__t3010.00-t3028.00.mp4","DUPES/out_atomic_clips__quarantine_043__2025-09-20__TSC_vs_RVFC__GOAL__t3010.00-t3028.00.mp4","35941045","duplicate_exact"
"move","out/atomic_clips/_quarantine/044__2025-09-20__TSC_vs_RVFC__GOAL__t3051.00-t3066.00.mp4","DUPES/out_atomic_clips__quarantine_044__2025-09-20__TSC_vs_RVFC__GOAL__t3051.00-t3066.00.mp4","23565817","duplicate_exact"
"move","out/atomic_clips/_quarantine/001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387.00-t412.00.mp4","DUPES/out_atomic_clips__quarantine_001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387.00-t412.00.mp4","45856961","duplicate_exact"
"move","out/atomic_clips/_quarantine/002__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t421.00-t449.00.mp4","DUPES/out_atomic_clips__quarantine_002__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t421.00-t449.00.mp4","52354085","duplicate_exact"
"move","out/atomic_clips/_quarantine/003__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t458.00-t487.00.mp4","DUPES/out_atomic_clips__quarantine_003__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t458.00-t487.00.mp4","50447401","duplicate_exact"
"move","out/atomic_clips/_quarantine/004__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t495.00-t513.00.mp4","DUPES/out_atomic_clips__quarantine_004__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t495.00-t513.00.mp4","39510319","duplicate_exact"
