"FullName","Relative","SizeBytes","LastWriteTime","InLikelyArtifactDir"
"C:\Users\scott\soccer-video\out\clips\096__PASSES__t2994.90-t3007.64.mp4","out\clips\096__PASSES__t2994.90-t3007.64.mp4","19251890","9/19/2025 3:46:46 PM","True"
"C:\Users\scott\soccer-video\out\clips\013__PASSES__t501.59-t512.59.mp4","out\clips\013__PASSES__t501.59-t512.59.mp4","19070025","9/19/2025 3:40:43 PM","True"
"C:\Users\scott\soccer-video\out\reels\landscape\004__GOAL__t1717.15-t1731.15__BASE__landscape.mp4","out\reels\landscape\004__GOAL__t1717.15-t1731.15__BASE__landscape.mp4","19059528","9/22/2025 4:53:06 PM","True"
"C:\Users\scott\soccer-video\out\clips\004__GOAL__t1717.15-t1731.15.mp4","out\clips\004__GOAL__t1717.15-t1731.15.mp4","19059528","9/22/2025 4:53:00 PM","True"
"C:\Users\scott\soccer-video\out\reels\landscape\002__SHOT__t1322.10-t1331.23__BASE__landscape.mp4","out\reels\landscape\002__SHOT__t1322.10-t1331.23__BASE__landscape.mp4","19049764","9/22/2025 4:52:50 PM","True"
"C:\Users\scott\soccer-video\out\clips\002__SHOT__t1322.10-t1331.23.mp4","out\clips\002__SHOT__t1322.10-t1331.23.mp4","19049764","9/22/2025 4:52:44 PM","True"
"C:\Users\scott\soccer-video\out\reels\tiktok\003__GOAL__t224.80-t248.70__BASE__tiktok.mp4","out\reels\tiktok\003__GOAL__t224.80-t248.70__BASE__tiktok.mp4","19041011","9/23/2025 10:53:44 AM","True"
"C:\Users\scott\soccer-video\out\clips\001__GOAL__t984.70-t993.70.mp4","out\clips\001__GOAL__t984.70-t993.70.mp4","18954265","9/22/2025 4:52:35 PM","True"
"C:\Users\scott\soccer-video\out\reels\landscape\001__GOAL__t984.70-t993.70__BASE__landscape.mp4","out\reels\landscape\001__GOAL__t984.70-t993.70__BASE__landscape.mp4","18954265","9/22/2025 4:52:41 PM","True"
"C:\Users\scott\soccer-video\out\reels\landscape\016__SHOT__t2029.90-t2039.50__BASE__landscape.mp4","out\reels\landscape\016__SHOT__t2029.90-t2039.50__BASE__landscape.mp4","18920971","9/23/2025 10:55:43 AM","True"
"C:\Users\scott\soccer-video\out\reels\tiktok\014__GOAL__t1904.20-t1925.20__ZOOM__tiktok.mp4","out\reels\tiktok\014__GOAL__t1904.20-t1925.20__ZOOM__tiktok.mp4","18918460","9/23/2025 12:04:09 PM","True"
"C:\Users\scott\soccer-video\out\reels\tiktok\004__GOAL__t266.50-t283.10__AUTOFRAME__tiktok.mp4","out\reels\tiktok\004__GOAL__t266.50-t283.10__AUTOFRAME__tiktok.mp4","18894743","9/23/2025 3:39:37 PM","True"
"C:\Users\scott\soccer-video\out\reels\landscape\011__GOAL__t1655.00-t1670.30__BASE__landscape.mp4","out\reels\landscape\011__GOAL__t1655.00-t1670.30__BASE__landscape.mp4","18703147","9/23/2025 10:55:04 AM","True"
"C:\Users\scott\soccer-video\out\clips\099__GOAL_FORCED_PASSES__t3073.37-t3092.58.mp4","out\clips\099__GOAL_FORCED_PASSES__t3073.37-t3092.58.mp4","18679812","9/19/2025 3:46:58 PM","True"
"C:\Users\scott\soccer-video\out\reels\landscape\021__SHOT__t2860.70-t2873.00__BASE__landscape.mp4","out\reels\landscape\021__SHOT__t2860.70-t2873.00__BASE__landscape.mp4","18516194","9/23/2025 10:56:22 AM","True"
