clip_path,portrait_path,render_done_at,render_preset,upscaled_path,upscale_done_at,branded_path,follow_brand_done_at,last_error,last_run_at
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\017__2025-09-13__TSC_vs_NEOFC__SHOT__t2284.90-t2298.20_portrait_POST.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,,,,,render failed,2026-02-11T22:41:59+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\018__2025-09-13__TSC_vs_NEOFC__SHOT__t2419.50-t2425.60_portrait_POST.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,,,,,render failed,2026-02-11T22:42:04+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\019__2025-09-13__TSC_vs_NEOFC__SHOT__t2633.00-t2638.10_portrait_POST.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,,,,,render failed,2026-02-11T22:42:13+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\020__2025-09-13__TSC_vs_NEOFC__GOAL__t2816.60-t2831.80_portrait_POST.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,,,,,render failed,2026-02-11T22:42:24+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\021__2025-09-13__TSC_vs_NEOFC__SHOT__t2860.70-t2873.00_portrait_POST.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,,,,,render failed,2026-02-11T22:42:34+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\023__2025-09-13__TSC_vs_NEOFC__SHOT__t3098.90-t3108.80_portrait_POST.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,,,,,render failed,2026-02-11T22:42:44+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\001__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t18900.00-t20340.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,,,,,render failed,2026-02-11T22:43:07+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\002__2025-09-20__TSC_vs_Greenwood__GOAL__t20400.00-t21180.00.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\002__2025-09-20__TSC_vs_Greenwood__GOAL__t20400.00-t21180.00__CINEMATIC_portrait_FINAL.mp4,2026-02-14T00:27:01+00:00,cinematic,,,,,source not found,2026-02-17T04:14:56+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\003__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t25260.00-t26460.00.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\003__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t25260.00-t26460.00__CINEMATIC_portrait_FINAL.mp4,2026-02-14T00:30:43+00:00,cinematic,,,,,source not found,2026-02-17T04:14:56+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\004__2025-09-20__TSC_vs_Greenwood__PRESSURE_TWO_SHOTS__t26640.00-t27360.00.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\004__2025-09-20__TSC_vs_Greenwood__PRESSURE_TWO_SHOTS__t26640.00-t27360.00__CINEMATIC_portrait_FINAL.mp4,2026-02-14T00:32:50+00:00,cinematic,,,,,source not found,2026-02-17T04:14:56+00:00
