"master_path","clip_name","label","t_start_s","t_end_s","source_path"
"C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_Greenwood/MASTER.mp4","007__2025-09-20__TSC_vs_Greenwood__DRIBBLING_SHOT__t739.00-t752.00_portrait_POST.mp4","TSC_vs_Greenwood__DRIBBLING_SHOT","739","752","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\007__2025-09-20__TSC_vs_Greenwood__DRIBBLING_SHOT__t739.00-t752.00_portrait_POST.mp4"
"C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_RVFC/MASTER.mp4","008__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t45240.00-t46980.00.mp4","TSC_vs_Greenwood__PRESSURE_SHOT","45240","46980","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\008__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t45240.00-t46980.00.mp4"
"C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_Greenwood/MASTER.mp4","008__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t754.00-t783.00_portrait_POST.mp4","TSC_vs_Greenwood__PRESSURE_SHOT","754","783","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\008__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t754.00-t783.00_portrait_POST.mp4"
"C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_RVFC/MASTER.mp4","009__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t48120.00-t49080.00.mp4","TSC_vs_Greenwood__PRESSURE_SHOT","48120","49080","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\009__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t48120.00-t49080.00.mp4"
"C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_Greenwood/MASTER.mp4","009__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t802.00-t818.00_portrait_POST.mp4","TSC_vs_Greenwood__PRESSURE_SHOT","802","818","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\009__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t802.00-t818.00_portrait_POST.mp4"
"C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_RVFC/MASTER.mp4","010__2025-09-20__TSC_vs_Greenwood__DEFENSE_BUILD_UP__t49260.00-t50880.00.mp4","TSC_vs_Greenwood__DEFENSE_BUILD_UP","49260","50880","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\010__2025-09-20__TSC_vs_Greenwood__DEFENSE_BUILD_UP__t49260.00-t50880.00.mp4"
"C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_Greenwood/MASTER.mp4","010__2025-09-20__TSC_vs_Greenwood__DEFENSE_BUILD_UP__t821.00-t848.00_portrait_POST.mp4","TSC_vs_Greenwood__DEFENSE_BUILD_UP","821","848","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\010__2025-09-20__TSC_vs_Greenwood__DEFENSE_BUILD_UP__t821.00-t848.00_portrait_POST.mp4"
"C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_RVFC/MASTER.mp4","011__2025-09-20__TSC_vs_Greenwood__GOAL__t54120.00-t54780.00.mp4","TSC_vs_Greenwood__GOAL","54120","54780","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\011__2025-09-20__TSC_vs_Greenwood__GOAL__t54120.00-t54780.00.mp4"
"C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_Greenwood/MASTER.mp4","011__2025-09-20__TSC_vs_Greenwood__GOAL__t902.00-t913.00_portrait_POST.mp4","TSC_vs_Greenwood__GOAL","902","913","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\011__2025-09-20__TSC_vs_Greenwood__GOAL__t902.00-t913.00_portrait_POST.mp4"
"C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_RVFC/MASTER.mp4","012__2025-09-20__TSC_vs_Greenwood__BUILD_SHOT__t58380.00-t59220.00.mp4","TSC_vs_Greenwood__BUILD_SHOT","58380","59220","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\012__2025-09-20__TSC_vs_Greenwood__BUILD_SHOT__t58380.00-t59220.00.mp4"
"C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_Greenwood/MASTER.mp4","012__2025-09-20__TSC_vs_Greenwood__BUILD_SHOT__t973.00-t987.00_portrait_POST.mp4","TSC_vs_Greenwood__BUILD_SHOT","973","987","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\012__2025-09-20__TSC_vs_Greenwood__BUILD_SHOT__t973.00-t987.00_portrait_POST.mp4"
