ClipID,MatchKey,AtomicPath,PortraitPaths,DurationSeconds,Width,Height
001__SHOT__t135.00-t145.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC,misc,C:\Users\scott\soccer-video\out\atomic_clips\misc\001__SHOT__t135.00-t145.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,
001__SHOT__t135.00-t145.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC,misc,C:\Users\scott\soccer-video\out\atomic_clips\misc\001__SHOT__t135.00-t145.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,
001__SHOT__t135.00-t145.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC,misc,C:\Users\scott\soccer-video\out\atomic_clips\misc\001__SHOT__t135.00-t145.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,
001__SHOT__t155.50-t166.40,misc,C:\Users\scott\soccer-video\out\atomic_clips\misc\001__SHOT__t155.50-t166.40.mp4,,,,
001__SHOT__t155.50-t166.40.__CINEMATIC,misc,C:\Users\scott\soccer-video\out\atomic_clips\misc\001__SHOT__t155.50-t166.40.__CINEMATIC.mp4,,,,
001__SHOT__t155.50-t166.40.__CINEMATIC.__CINEMATIC,misc,C:\Users\scott\soccer-video\out\atomic_clips\misc\001__SHOT__t155.50-t166.40.__CINEMATIC.__CINEMATIC.mp4,,,,
001__SHOT__t155.50-t166.40.__CINEMATIC.__CINEMATIC.__CINEMATIC,misc,C:\Users\scott\soccer-video\out\atomic_clips\misc\001__SHOT__t155.50-t166.40.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,
001__SHOT__t155.50-t166.40.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC,misc,C:\Users\scott\soccer-video\out\atomic_clips\misc\001__SHOT__t155.50-t166.40.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,
001__SHOT__t155.50-t166.40.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC,misc,C:\Users\scott\soccer-video\out\atomic_clips\misc\001__SHOT__t155.50-t166.40.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,
001__SHOT__t155.50-t166.40.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC,misc,C:\Users\scott\soccer-video\out\atomic_clips\misc\001__SHOT__t155.50-t166.40.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,
001__SHOT__t155.50-t166.40.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC,_quarantine,C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\001__SHOT__t155.50-t166.40.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,
