"index","date","status","atomic","master","action"
"104","2025-09-20","MISSING_MASTER",".\out\atomic_clips\104__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
"217","2025-09-20","MISSING_MASTER",".\out\atomic_clips\217__TSC_vs_RVFC__PRESSURE_GOAL__2025-09-20__t2348-2367.mp4",,"none"
"216","2025-09-20","MISSING_MASTER",".\out\atomic_clips\216__TSC_vs_Greenwood__PRESSURE_SHOT__2025-09-20__t2705-2715.mp4",,"none"
"147","2025-10-04","MISSING_MASTER",".\out\atomic_clips\147__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-10-04__t1058-1080.mp4",,"none"
"207","2025-09-20","MISSING_MASTER",".\out\atomic_clips\207__TSC_vs_RVFC__PRESSURE_SHOT__2025-09-20__t1964-1975.mp4",,"none"
"99","2025-09-20","MISSING_MASTER",".\out\atomic_clips\099__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
"206","2025-09-20","MISSING_MASTER",".\out\atomic_clips\206__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__2025-09-20__t2245-2266.mp4",,"none"
"125","2025-10-07","MISSING_MASTER",".\out\atomic_clips\125__HOME_vs_AWAY__CORNER__2025-10-07__t417.9-431.6.mp4",,"none"
"189","2025-09-13","MISSING_MASTER",".\out\atomic_clips\189__TSC_vs_NEOFC__SHOT__2025-09-13__t3098.9-3108.8.mp4",,"none"
"33","2025-09-13","MISSING_MASTER",".\out\atomic_clips\033__TSC_vs_NEOFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-13__t1705-1721.mp4",,"none"
"114","2025-09-20","MISSING_MASTER",".\out\atomic_clips\114__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
"52","2025-09-20","MISSING_MASTER",".\out\atomic_clips\052__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
"102","2025-09-20","MISSING_MASTER",".\out\atomic_clips\102__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
"8","2025-10-04","HAVE","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\008__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t61500.00-t62400.00.mp4",,
"28","2025-09-20","MISSING_MASTER",".\out\atomic_clips\028__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
"35","2025-09-20","MISSING_MASTER",".\out\atomic_clips\035__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
"54","2025-09-13","MISSING_MASTER",".\out\atomic_clips\054__TSC_vs_NEOFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-13__t1705-1721.mp4",,"none"
"65","2025-09-20","MISSING_MASTER",".\out\atomic_clips\065__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
