frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
240,156.9,710.9,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,132.1,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=3|pb_zfit|keepin_prop=0.17|keepin_zoom=1.350|edge_zoom=0.862|bounds
241,152.0,711.8,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,127.2,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=3|pb_zfit|keepin_prop=0.17|keepin_zoom=1.350|edge_zoom=0.860|bounds
242,147.1,712.6,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,122.3,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=3|pb_zfit|keepin_prop=0.18|keepin_zoom=1.350|edge_zoom=0.858|bounds
243,142.4,713.5,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,117.6,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=3|pb_zfit|keepin_prop=0.19|keepin_zoom=1.350|edge_zoom=0.856|bounds
244,137.8,714.3,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,113.0,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=3|pb_zfit|keepin_prop=0.20|keepin_zoom=1.350|edge_zoom=0.854|bounds
245,133.3,715.1,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,108.5,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=3|pb_zfit|keepin_prop=0.21|keepin_zoom=1.350|edge_zoom=0.852|bounds
246,128.9,715.9,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,104.1,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=3|pb_zfit|keepin_prop=0.21|keepin_zoom=1.350|edge_zoom=0.850|bounds
247,124.6,716.6,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,99.8,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=3|pb_zfit|keepin_prop=0.22|keepin_zoom=1.350|edge_zoom=0.848|bounds
248,120.4,717.4,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,95.6,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=4|pb_zfit|keepin_prop=0.23|keepin_zoom=1.350|edge_zoom=0.846|bounds
249,116.4,718.1,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,91.6,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=4|pb_zfit|keepin_prop=0.24|keepin_zoom=1.350|edge_zoom=0.844|bounds
250,112.4,718.8,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,87.6,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=3|pb_zfit|keepin_prop=0.25|keepin_zoom=1.350|edge_zoom=0.842|bounds
251,108.6,719.5,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,83.8,0,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.25|keepin_zoom=1.350|edge_zoom=0.840|bounds
252,104.9,720.1,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,80.1,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=3|pb_zfit|keepin_prop=0.26|keepin_zoom=1.350|edge_zoom=0.839|bounds
253,101.3,720.8,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,76.5,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=3|pb_zfit|keepin_prop=0.27|keepin_zoom=1.350|edge_zoom=0.837|bounds
254,97.8,721.4,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,73.0,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=3|pb_zfit|keepin_prop=0.28|keepin_zoom=1.350|edge_zoom=0.835|bounds
255,94.4,722.0,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,69.6,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=4|pb_zfit|keepin_prop=0.28|keepin_zoom=1.350|edge_zoom=0.833|bounds
256,91.1,722.6,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,66.3,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=3|pb_zfit|keepin_prop=0.29|keepin_zoom=1.350|edge_zoom=0.832|bounds
257,87.9,723.2,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,63.1,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=3|pb_zfit|keepin_prop=0.30|keepin_zoom=1.350|edge_zoom=0.830|bounds
258,84.9,723.7,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,60.1,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=3|pb_zfit|keepin_prop=0.29|keepin_zoom=1.350|edge_zoom=0.827|bounds
259,81.9,724.2,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,57.1,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=3|pb_zfit|keepin_prop=0.27|keepin_zoom=1.350|edge_zoom=0.824|bounds
260,79.1,724.7,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,54.3,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=4|pb_zfit|keepin_prop=0.25|keepin_zoom=1.350|edge_zoom=0.821|bounds
261,76.4,725.2,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,51.6,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=4|pb_zfit|keepin_prop=0.23|keepin_zoom=1.350|edge_zoom=0.818|bounds
262,73.7,725.7,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,48.9,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=3|pb_zfit|keepin_prop=0.22|keepin_zoom=1.350|edge_zoom=0.814|bounds
